"Dokument";"Uppladdad";"Kategori";"Fas";"Version";"Ändrad";"Beskrivning";"Skala";"Skapad"
"12.3_Handlingsförteckning.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-01-0-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-01-0-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-01-0-003-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-0-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-1-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-1-101-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-1-110-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-2-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-2-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-6-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-6-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-15-6-003-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-1-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-1-110-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-1-210-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-003-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-004-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-005-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-006-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-007-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-008-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-009-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-010-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-2-011-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-6-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-20-6-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-23-0-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-0-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-1-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-1-110-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-1-210-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-4-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-4-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-4-003-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-24-4-004-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-25-1-100-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-25-4-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-25-4-002-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
"K-25-6-001-.pdf";"2024-12-20";"";"Förfrågningsunderlag (FU)";"1";"";"";"";"2024-12-20"
